Decade,Genre,Funness
1980,latin,0.0
1980,rock,242.03498484848484
1980,hip hop,254.67620689655172
1980,r&b,0.0
1980,country,0.0
1980,dance,0.0
1980,soul,0.0
1980,pop,245.60453846153845
1980,funk,251.01333333333332
1980,folk,203.79609090909094
1980,punk,231.03749999999997
1990,latin,0.0
1990,rock,232.84055216000002
1990,hip hop,231.70128571428572
1990,r&b,0.0
1990,country,221.1849230769231
1990,dance,0.0
1990,soul,0.0
1990,pop,206.41758333333337
1990,funk,235.80475862068968
1990,folk,0.0
1990,punk,0.0
2000,latin,0.0
2000,rock,225.87903030303028
2000,hip hop,235.63363235294122
2000,r&b,0.0
2000,country,207.31
2000,dance,261.3745135135135
2000,soul,0.0
2000,pop,0.0
2000,funk,0.0
2000,folk,0.0
2000,punk,0.0
2010,latin,255.97742857142856
2010,rock,243.8551363636364
2010,hip hop,229.42477586206897
2010,r&b,186.87117647058824
2010,country,228.2934074074074
2010,dance,231.2924090909091
2010,soul,238.85518181818182
2010,pop,213.36785185185187
2010,funk,0.0
2010,folk,0.0
2010,punk,0.0
