Decade,Genre
2010,latin
2010,rock
2000,hip hop
2010,hip hop
2010,r&b
2010,country
2000,dance
2010,dance
2010,country
2010,soul
2010,pop
2010,hip hop
2010,rock
2010,pop
2010,hip hop
2010,dance
1980,rock
2000,rock
2000,hip hop
1980,rock
1990,rock
2000,rock
2000,rock
2000,dance
2000,hip hop
2000,dance
2000,rock
2000,country
2000,rock
1990,rock
2000,rock
1990,country
1990,funk
1990,rock
1990,rock
1990,hip hop
1990,pop
2000,rock
1990,hip hop
1990,rock
1990,rock
1990,hip hop
1990,funk
1980,pop
1980,rock
1980,rock
1980,hip hop
1980,rock
1980,folk
1980,rock
1980,rock
1980,pop
1980,rock
1980,punk
1980,funk
1980,rock
